,Unnamed: 0,orderid,shopid,userid,event_time
2,8,31118426867571,147941492,10986763,2019-12-27 12:00:27
3,10,31087300300603,9374147,126960343,2019-12-27 03:21:40
5,22,31136453435644,147941492,206749550,2019-12-27 17:00:53
7,30,31144703269967,195394274,214430772,2019-12-27 19:18:24
8,34,31132320260804,161269907,22936073,2019-12-27 15:52:00
9,35,31124045990881,1175477,150633728,2019-12-27 13:34:05
10,37,31140429787865,39938958,67554544,2019-12-27 18:07:09
11,40,31143130729225,96757689,21597636,2019-12-27 18:52:10
12,49,31153516941270,39554718,64774135,2019-12-27 21:45:16
13,53,31157578419011,47415942,145068428,2019-12-27 22:52:58
14,57,31140092429201,112904482,160670408,2019-12-27 18:01:32
15,61,31103632185771,54615708,75860533,2019-12-27 07:53:53
16,71,31078199271461,66861410,184914593,2019-12-27 00:50:00
17,73,31154877014951,8715449,214473584,2019-12-27 22:07:57
19,80,31148514162880,147941492,66250307,2019-12-27 20:21:54
20,86,31115968840487,61556313,34211460,2019-12-27 11:19:29
22,89,31083099979367,47415942,6795131,2019-12-27 02:11:40
23,90,31130865898247,54615708,152051591,2019-12-27 15:27:46
24,93,31134073229834,147941492,53438453,2019-12-27 16:21:14
25,94,31109855116455,25924280,125606042,2019-12-27 09:37:35
26,102,31144134410828,54615708,103348547,2019-12-27 19:08:54
27,103,31152764058008,53613428,102189397,2019-12-27 21:32:44
28,108,31104038421997,39554718,29473975,2019-12-27 08:00:39
29,110,31091263645766,54615708,190282413,2019-12-27 04:27:44
32,127,31116500033930,32504026,69701902,2019-12-27 11:28:20
33,134,31157530551008,147941492,183542722,2019-12-27 22:52:10
34,136,31149380714946,122218940,61125264,2019-12-27 20:36:20
36,144,31153471819945,84301799,52082953,2019-12-27 21:44:32
40,151,31109264843241,58543771,88486439,2019-12-27 09:27:45
41,152,31130307708583,156883302,189438292,2019-12-27 15:18:27
42,155,31136939546036,1532569,161294385,2019-12-27 17:08:59
43,159,31137634802828,61556313,77336992,2019-12-27 17:20:35
44,165,31141767066629,27476241,186881667,2019-12-27 18:29:28
49,173,31108400783077,58835561,17571866,2019-12-27 09:13:20
50,176,31127564749971,26218382,50851210,2019-12-27 14:32:44
